[PokaPoka @ 730846ms/46s/11m/12h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 487103ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(677.0-718)] with expected peak @ (x:677.0, y:100)
[PokaPoka @ 493083ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(680.0-718)] with expected peak @ (x:680.0, y:100)
[PokaPoka @ 500060ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(683.0-716)] with expected peak @ (x:683.0, y:100)
[PokaPoka @ 507042ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(686.0-712)] with expected peak @ (x:686.0, y:100)
[PokaPoka @ 516017ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(689.0-706)] with expected peak @ (x:689.0, y:100)
[PokaPoka @ 522998ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(692.0-698)] with expected peak @ (x:692.0, y:100)
[PokaPoka @ 530978ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(695.0-688)] with expected peak @ (x:695.0, y:100)
[PokaPoka @ 537962ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(698.0-676)] with expected peak @ (x:698.0, y:100)
[PokaPoka @ 547934ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701.0-662)] with expected peak @ (x:701.0, y:100)
[PokaPoka @ 555913ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704.0-646)] with expected peak @ (x:704.0, y:100)
[PokaPoka @ 562890ms/47s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-628)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 412505ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-718)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 417532ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-718)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 423445ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-716)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 431343ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-712)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 437332ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-706)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 444312ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-698)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 449326ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-688)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 456284ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-676)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 463261ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-662)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 469267ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-646)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 476243ms/48s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-628)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 245261ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-718)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 250247ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-718)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 257229ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-716)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 264379ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-712)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 270318ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-706)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 276303ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-698)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 282640ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-688)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 288555ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-676)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 295481ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-662)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 301465ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(446.0-646)] with expected peak @ (x:446.0, y:100)
[PokaPoka @ 306455ms/49s/11m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(449.0-628)] with expected peak @ (x:449.0, y:100)
[PokaPoka @ 565791ms/49s/11m/12h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 565791ms/49s/11m/12h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 565791ms/49s/11m/12h, 27d/6mo/2021y] --> Exported game log
