[PokaPoka @ 255142ms/51s/26m/23h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 110955ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(236.0-664)] with expected peak @ (x:236.0, y:100)
[PokaPoka @ 132899ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(239.0-660)] with expected peak @ (x:239.0, y:100)
[PokaPoka @ 157829ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(242.0-658)] with expected peak @ (x:242.0, y:100)
[PokaPoka @ 175781ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(245.0-654)] with expected peak @ (x:245.0, y:100)
[PokaPoka @ 193735ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(248.0-648)] with expected peak @ (x:248.0, y:100)
[PokaPoka @ 216672ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(251.0-640)] with expected peak @ (x:251.0, y:100)
[PokaPoka @ 239645ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(254.0-630)] with expected peak @ (x:254.0, y:100)
[PokaPoka @ 258594ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(257.0-618)] with expected peak @ (x:257.0, y:100)
[PokaPoka @ 276512ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(260.0-604)] with expected peak @ (x:260.0, y:100)
[PokaPoka @ 296969ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(263.0-588)] with expected peak @ (x:263.0, y:100)
[PokaPoka @ 321908ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(266.0-570)] with expected peak @ (x:266.0, y:100)
[PokaPoka @ 827549ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(341.0-671)] with expected peak @ (x:341.0, y:100)
[PokaPoka @ 845501ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(344.0-671)] with expected peak @ (x:344.0, y:100)
[PokaPoka @ 863452ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(347.0-669)] with expected peak @ (x:347.0, y:100)
[PokaPoka @ 881404ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(350.0-665)] with expected peak @ (x:350.0, y:100)
[PokaPoka @ 903350ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(353.0-659)] with expected peak @ (x:353.0, y:100)
[PokaPoka @ 924292ms/3s/27m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(356.0-651)] with expected peak @ (x:356.0, y:100)
