[PokaPoka @ 703075ms/16s/14m/13h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 968602ms/28s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(490-40)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(95-161-99), size(50-50) @ pos(1230-50)]
[PokaPoka @ 9879ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 70709ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 146355ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 211351ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 254381ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 294382ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 345330ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 404648ms/29s/14m/13h, 28d/6mo/2021y] --> Item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)] interacted with hotbar slot(9) resulting in overflow --> Dropped item Entity[rgb(210-185-25), size(50-50) @ pos(1230-50)]
[PokaPoka @ 490378ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-675)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 528276ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-673)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 561710ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-669)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 592698ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-663)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 621205ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-655)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 650345ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-645)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 685703ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-633)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 717580ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-619)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 745913ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-603)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 772516ms/31s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-585)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 376473ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-675)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 393525ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-673)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 412151ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-669)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 431422ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-663)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 449740ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-655)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 466877ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-645)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 486384ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-633)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 505350ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-619)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 523335ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-603)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 542287ms/32s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-585)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 38697ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-675)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 65692ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-673)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 94607ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-669)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 118270ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-663)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 142343ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-655)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 171206ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-645)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 205669ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-633)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 233281ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-619)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 253800ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-603)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 269465ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-585)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 736701ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-675)] with expected peak @ (x:1230, y:100)
[PokaPoka @ 753620ms/33s/14m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(95-161-99), size(50-50) @ pos(1230-673)] with expected peak @ (x:1230, y:100)
