[PokaPoka @ 169924ms/23s/28m/7h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 682453ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(522.0-668)] with expected peak @ (x:522.0, y:100)
[PokaPoka @ 709072ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(525.0-668)] with expected peak @ (x:525.0, y:100)
[PokaPoka @ 740827ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(528.0-666)] with expected peak @ (x:528.0, y:100)
[PokaPoka @ 778957ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(531.0-662)] with expected peak @ (x:531.0, y:100)
[PokaPoka @ 807883ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(534.0-656)] with expected peak @ (x:534.0, y:100)
[PokaPoka @ 829247ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(537.0-648)] with expected peak @ (x:537.0, y:100)
[PokaPoka @ 848221ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540.0-638)] with expected peak @ (x:540.0, y:100)
[PokaPoka @ 868165ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(543.0-626)] with expected peak @ (x:543.0, y:100)
[PokaPoka @ 888823ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(546.0-612)] with expected peak @ (x:546.0, y:100)
[PokaPoka @ 913277ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(549.0-596)] with expected peak @ (x:549.0, y:100)
[PokaPoka @ 933954ms/24s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(552.0-578)] with expected peak @ (x:552.0, y:100)
[PokaPoka @ 63987ms/26s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(525.0-668)] with expected peak @ (x:525.0, y:100)
[PokaPoka @ 85928ms/26s/28m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(522.0-668)] with expected peak @ (x:522.0, y:100)
