[PokaPoka @ 134995ms/34s/28m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 126516ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(329.0-668)] with expected peak @ (x:329.0, y:100)
[PokaPoka @ 143853ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(326.0-668)] with expected peak @ (x:326.0, y:100)
[PokaPoka @ 159769ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(323.0-666)] with expected peak @ (x:323.0, y:100)
[PokaPoka @ 176507ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(320.0-662)] with expected peak @ (x:320.0, y:100)
[PokaPoka @ 192362ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(317.0-656)] with expected peak @ (x:317.0, y:100)
[PokaPoka @ 208864ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(314.0-648)] with expected peak @ (x:314.0, y:100)
[PokaPoka @ 226583ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(311.0-638)] with expected peak @ (x:311.0, y:100)
[PokaPoka @ 242876ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(308.0-626)] with expected peak @ (x:308.0, y:100)
[PokaPoka @ 259871ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(305.0-612)] with expected peak @ (x:305.0, y:100)
[PokaPoka @ 276732ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(302.0-596)] with expected peak @ (x:302.0, y:100)
[PokaPoka @ 293675ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(299.0-578)] with expected peak @ (x:299.0, y:100)
[PokaPoka @ 948919ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(338.0-668)] with expected peak @ (x:338.0, y:100)
[PokaPoka @ 965666ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(335.0-668)] with expected peak @ (x:335.0, y:100)
[PokaPoka @ 982547ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(332.0-666)] with expected peak @ (x:332.0, y:100)
[PokaPoka @ 998702ms/38s/28m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(329.0-662)] with expected peak @ (x:329.0, y:100)
