[PokaPoka @ 843519ms/54s/31m/16h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 325203ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 339721ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 356384ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 373522ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 390078ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 407224ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 423896ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 440732ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 458083ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 474292ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-596)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 491417ms/58s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-578)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 797311ms/59s/31m/16h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 469595ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(401.0-668)] with expected peak @ (x:401.0, y:100)
[PokaPoka @ 485550ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(398.0-668)] with expected peak @ (x:398.0, y:100)
[PokaPoka @ 502506ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(395.0-666)] with expected peak @ (x:395.0, y:100)
[PokaPoka @ 519459ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(392.0-662)] with expected peak @ (x:392.0, y:100)
[PokaPoka @ 537414ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(389.0-656)] with expected peak @ (x:389.0, y:100)
[PokaPoka @ 556359ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(386.0-648)] with expected peak @ (x:386.0, y:100)
[PokaPoka @ 574314ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(383.0-638)] with expected peak @ (x:383.0, y:100)
[PokaPoka @ 590272ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(380.0-626)] with expected peak @ (x:380.0, y:100)
[PokaPoka @ 606230ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(377.0-612)] with expected peak @ (x:377.0, y:100)
[PokaPoka @ 622186ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-596)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 638144ms/2s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-578)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 39619ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-668)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 62566ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-668)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 78514ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-666)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 94472ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-662)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 110469ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-656)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 127384ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-648)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 143378ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-638)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 160298ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(446.0-626)] with expected peak @ (x:446.0, y:100)
[PokaPoka @ 176254ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(449.0-612)] with expected peak @ (x:449.0, y:100)
[PokaPoka @ 192248ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(452.0-596)] with expected peak @ (x:452.0, y:100)
[PokaPoka @ 208205ms/3s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(455.0-578)] with expected peak @ (x:455.0, y:100)
[PokaPoka @ 251494ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(497.0-668)] with expected peak @ (x:497.0, y:100)
[PokaPoka @ 274432ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(494.0-668)] with expected peak @ (x:494.0, y:100)
[PokaPoka @ 304352ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(491.0-666)] with expected peak @ (x:491.0, y:100)
[PokaPoka @ 335271ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-662)] with expected peak @ (x:488.0, y:100)
[PokaPoka @ 352222ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(485.0-656)] with expected peak @ (x:485.0, y:100)
[PokaPoka @ 369178ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(485.0-648)] with expected peak @ (x:485.0, y:100)
[PokaPoka @ 385663ms/7s/32m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-638)] with expected peak @ (x:488.0, y:100)
