[PokaPoka @ 49943ms/36s/14m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 265560ms/37s/14m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 635540ms/38s/14m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 579689ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-718)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 592656ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-718)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 606584ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-716)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 619575ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-712)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 633743ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-706)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 647784ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-698)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 660808ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-688)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 674715ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-676)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 687679ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-662)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 702669ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-646)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 717626ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-628)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 859441ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-620)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 873402ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-620)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 886364ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-618)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 899925ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-614)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 912891ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-608)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 925860ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-600)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 939828ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-590)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 951787ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-578)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 966749ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-564)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 982734ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-548)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 996698ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-530)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 349649ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-718)] with expected peak @ (x:488.0, y:100)
[PokaPoka @ 364800ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(491.0-718)] with expected peak @ (x:491.0, y:100)
