[PokaPoka @ 532278ms/38s/36m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 984833ms/41s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-668)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 1604ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-668)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 19092ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-666)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 35042ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-662)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 51000ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-656)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 66953ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-648)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 83913ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-638)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 101863ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-626)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 117819ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-612)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 134774ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-596)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 150731ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-578)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 531594ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-658)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 550580ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-658)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 564130ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-656)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 580086ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-652)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 596990ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-646)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 613475ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-638)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 630700ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-628)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 647163ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-616)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 664272ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-602)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 679886ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-586)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 696843ms/42s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-568)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 374072ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-668)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 388887ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-668)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 404834ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-666)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 420793ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-662)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 436922ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-656)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 452922ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-648)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 469362ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-638)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 485937ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-626)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 502735ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-612)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 519186ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-596)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 534809ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-578)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 930705ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710.0-668)] with expected peak @ (x:710.0, y:100)
[PokaPoka @ 947379ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-668)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 962881ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704.0-666)] with expected peak @ (x:704.0, y:100)
[PokaPoka @ 979478ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701.0-662)] with expected peak @ (x:701.0, y:100)
[PokaPoka @ 996246ms/51s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(698.0-656)] with expected peak @ (x:698.0, y:100)
[PokaPoka @ 12227ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(695.0-648)] with expected peak @ (x:695.0, y:100)
[PokaPoka @ 27935ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(692.0-638)] with expected peak @ (x:692.0, y:100)
[PokaPoka @ 43844ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(689.0-626)] with expected peak @ (x:689.0, y:100)
[PokaPoka @ 60773ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(686.0-612)] with expected peak @ (x:686.0, y:100)
[PokaPoka @ 78431ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(683.0-596)] with expected peak @ (x:683.0, y:100)
[PokaPoka @ 95495ms/52s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(680.0-578)] with expected peak @ (x:680.0, y:100)
[PokaPoka @ 442624ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-668)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 458998ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-668)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 475961ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(653.0-666)] with expected peak @ (x:653.0, y:100)
[PokaPoka @ 493855ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-662)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 510806ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-656)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 526765ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-648)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 543144ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-638)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 561063ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-626)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 577026ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-612)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 593976ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-596)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 610932ms/53s/36m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-578)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 701672ms/54s/36m/19h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 701672ms/54s/36m/19h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 701672ms/54s/36m/19h, 27d/6mo/2021y] --> Exported game log as PokaPoka_152666_38_36_19_27_6_2021.log
