[PokaPoka @ 256843ms/32s/3m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 387490ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-723)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 401451ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-723)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 414418ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-721)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 429377ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-717)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 443999ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-711)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 457930ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-703)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 470898ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-693)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 483864ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-681)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 496826ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-667)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 512017ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-651)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 525978ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-633)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 856751ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(683.0-723)] with expected peak @ (x:683.0, y:100)
[PokaPoka @ 869719ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(686.0-723)] with expected peak @ (x:686.0, y:100)
[PokaPoka @ 883684ms/33s/3m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(689.0-721)] with expected peak @ (x:689.0, y:100)
