[PokaPoka @ 500731ms/30s/44m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 799931ms/30s/44m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 823256ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-718)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 839447ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-718)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 855413ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-716)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 871358ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-712)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 887402ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-706)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 904091ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-698)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 920618ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-688)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 935619ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-676)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 953093ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-662)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 969040ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-646)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 985751ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-628)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 382579ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(689.0-718)] with expected peak @ (x:689.0, y:100)
[PokaPoka @ 397995ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(692.0-718)] with expected peak @ (x:692.0, y:100)
[PokaPoka @ 414188ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(695.0-716)] with expected peak @ (x:695.0, y:100)
[PokaPoka @ 430105ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(698.0-712)] with expected peak @ (x:698.0, y:100)
[PokaPoka @ 446821ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701.0-706)] with expected peak @ (x:701.0, y:100)
[PokaPoka @ 464246ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704.0-698)] with expected peak @ (x:704.0, y:100)
[PokaPoka @ 479991ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-688)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 496442ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710.0-676)] with expected peak @ (x:710.0, y:100)
[PokaPoka @ 512295ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(713.0-662)] with expected peak @ (x:713.0, y:100)
