[PokaPoka @ 741674ms/52s/30m/16h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 759211ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-668)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 775546ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-668)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 791591ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-666)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 807598ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-662)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 823517ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(653.0-656)] with expected peak @ (x:653.0, y:100)
[PokaPoka @ 839499ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-648)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 855554ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(659.0-638)] with expected peak @ (x:659.0, y:100)
[PokaPoka @ 872517ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(662.0-626)] with expected peak @ (x:662.0, y:100)
[PokaPoka @ 889473ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(665.0-612)] with expected peak @ (x:665.0, y:100)
[PokaPoka @ 907424ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(668.0-596)] with expected peak @ (x:668.0, y:100)
[PokaPoka @ 923750ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(671.0-578)] with expected peak @ (x:671.0, y:100)
[PokaPoka @ 596779ms/56s/30m/16h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 688935ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(953.0-668)] with expected peak @ (x:953.0, y:100)
[PokaPoka @ 708883ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(950.0-668)] with expected peak @ (x:950.0, y:100)
[PokaPoka @ 727830ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(947.0-666)] with expected peak @ (x:947.0, y:100)
[PokaPoka @ 752764ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(944.0-662)] with expected peak @ (x:944.0, y:100)
[PokaPoka @ 773709ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(941.0-656)] with expected peak @ (x:941.0, y:100)
[PokaPoka @ 792659ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(938.0-648)] with expected peak @ (x:938.0, y:100)
[PokaPoka @ 810612ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(935.0-638)] with expected peak @ (x:935.0, y:100)
[PokaPoka @ 828559ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(932.0-626)] with expected peak @ (x:932.0, y:100)
[PokaPoka @ 848509ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(929.0-612)] with expected peak @ (x:929.0, y:100)
[PokaPoka @ 865461ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(926.0-596)] with expected peak @ (x:926.0, y:100)
