[PokaPoka @ 293746ms/58s/6m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 56732ms/0s/7m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 277607ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-720)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 293565ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-720)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 309521ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-718)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 324481ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-714)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 338531ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-708)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 351501ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-700)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 364430ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-690)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 377422ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-678)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 392353ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-664)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 406908ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-648)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 421144ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-630)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 730670ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-721)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 743628ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-721)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 758541ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-719)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 772909ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-715)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 788870ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-709)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 801837ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-701)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 815801ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-691)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 830769ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-679)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 845718ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-665)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 859380ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-649)] with expected peak @ (x:587.0, y:100)
