[PokaPoka @ 642329ms/8s/9m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 478618ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(612.0-668)] with expected peak @ (x:612.0, y:100)
[PokaPoka @ 506093ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(615.0-668)] with expected peak @ (x:615.0, y:100)
[PokaPoka @ 541968ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(618.0-666)] with expected peak @ (x:618.0, y:100)
[PokaPoka @ 570918ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(621.0-662)] with expected peak @ (x:621.0, y:100)
[PokaPoka @ 600838ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(624.0-656)] with expected peak @ (x:624.0, y:100)
[PokaPoka @ 634240ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-648)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 669172ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-638)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 704554ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-626)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 733477ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-612)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 761987ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-596)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 792938ms/10s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(642.0-578)] with expected peak @ (x:642.0, y:100)
[PokaPoka @ 948839ms/12s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(732.0-618)] with expected peak @ (x:732.0, y:100)
[PokaPoka @ 975686ms/12s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(735.0-618)] with expected peak @ (x:735.0, y:100)
[PokaPoka @ 6603ms/13s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(738.0-616)] with expected peak @ (x:738.0, y:100)
[PokaPoka @ 39518ms/13s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(741.0-612)] with expected peak @ (x:741.0, y:100)
[PokaPoka @ 76418ms/13s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(744.0-606)] with expected peak @ (x:744.0, y:100)
[PokaPoka @ 109331ms/13s/9m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(747.0-598)] with expected peak @ (x:747.0, y:100)
