[PokaPoka @ 434897ms/43s/18m/18h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 822343ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-668)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 837935ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-668)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 854045ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-666)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 870855ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-662)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 886813ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-656)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 903767ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-648)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 921068ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-638)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 937415ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-626)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 953516ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-612)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 969482ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-596)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 985597ms/48s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(881.0-578)] with expected peak @ (x:881.0, y:100)
[PokaPoka @ 526225ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(821.0-668)] with expected peak @ (x:821.0, y:100)
[PokaPoka @ 542399ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(818.0-668)] with expected peak @ (x:818.0, y:100)
[PokaPoka @ 558471ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-666)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 574519ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-662)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 591379ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-656)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 608195ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-648)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 624161ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-638)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 640119ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-626)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 655539ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-612)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 672347ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-596)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 688897ms/49s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(809.0-578)] with expected peak @ (x:809.0, y:100)
[PokaPoka @ 84795ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(797.0-668)] with expected peak @ (x:797.0, y:100)
[PokaPoka @ 102322ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-668)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 119011ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-666)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 133525ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-662)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 150013ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-656)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 165993ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-648)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 182185ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-638)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 198653ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-626)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 215305ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-612)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 232167ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-596)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 248641ms/50s/18m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-578)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 338538ms/21s/19m/18h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 338538ms/21s/19m/18h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 338538ms/21s/19m/18h, 27d/6mo/2021y] --> Exported game log as PokaPoka_72948_43_18_18_27_6_2021.log
