[PokaPoka @ 219343ms/45s/49m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 37848ms/46s/49m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 625023ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-668)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 643964ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-668)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 662909ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-666)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 681864ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-662)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 700812ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-656)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 719762ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-648)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 738711ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-638)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 758666ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-626)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 777606ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-612)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 798552ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-596)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 817529ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-578)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 294222ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-668)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 313171ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-668)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 332154ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-666)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 351101ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-662)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 372265ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-656)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 392228ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-648)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 411167ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-638)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 432113ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-626)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 452086ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-612)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 470008ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-596)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 490952ms/48s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-578)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 175906ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-668)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 194823ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-668)] with expected peak @ (x:602.0, y:100)
